"Site","Day","Q"
"STRT",2019-07-05,544.678951117745
"STRT",2019-07-06,539.948342135473
"STRT",2019-07-07,546.67284415986
"STRT",2019-07-08,547.181091405889
"STRT",2019-07-09,566.963638059028
"STRT",2019-07-10,623.183602658266
"STRT",2019-07-11,618.062034255971
"STRT",2019-07-12,656.102385824161
"STRT",2019-07-13,976.3372467646
"STRT",2019-07-14,998.270070227863
"STRT",2019-07-15,848.532612359241
"STRT",2019-07-16,868.862502200412
"STRT",2019-07-17,938.64875867443
"STRT",2019-07-18,856.860048005721
"STRT",2019-07-19,799.779972682434
"STRT",2019-07-20,755.992517639913
"STRT",2019-07-21,753.412185467764
"STRT",2019-07-22,724.520284328101
"STRT",2019-07-23,706.262479413049
"STRT",2019-07-24,708.334564339169
"STRT",2019-07-25,885.087318131346
"STRT",2019-07-26,1186.4779350267
"STRT",2019-07-27,1352.16653723224
"STRT",2019-07-28,1693.78687844791
"STRT",2019-07-29,2020.47256981872
"STRT",2019-07-30,2264.50943979677
"STRT",2019-07-31,2420.42405650175
"STRT",2019-08-01,2701.52387949794
"STRT",2019-08-02,2968.2754917793
"STRT",2019-08-03,3597.64196613154
"STRT",2019-08-04,3828.89446307485
"STRT",2019-08-05,3411.1543227808
"STRT",2019-08-06,4017.88424671373
"STRT",2019-08-07,4258.79344133161
"STRT",2019-08-08,3998.49265948062
"STRT",2019-08-09,3565.8178693417
"STRT",2019-08-10,3411.2325146648
"STRT",2019-08-11,3312.43706922511
"STRT",2019-08-12,3229.74915189035
"STRT",2019-08-13,3717.39283648443
"STRT",2019-08-14,4580.90490748815
"STRT",2019-08-15,4053.69612958779
"STRT",2019-08-16,4887.76895626382
"STRT",2019-08-17,6619.05455594951
"STRT",2019-08-18,5609.16727808936
"STRT",2019-08-19,4721.06385956622
"STRT",2019-08-20,4200.73596745826
"STRT",2019-08-21,3945.43946618356
"STRT",2019-08-22,3720.87237532263
"STRT",2019-08-23,3522.14770212519
"STRT",2019-08-24,3454.6681062293
"STRT",2019-08-25,3267.51583186453
"STRT",2019-08-26,3136.03617891096
"STRT",2019-08-27,3036.92796593525
"STRT",2019-08-28,2950.25226251626
"STRT",2019-08-29,2873.19416082982
"STRT",2019-08-30,2825.02796028305
"STRT",2019-08-31,2776.31441654824
